text,category
notebook and diary,Education
pen and ink,Education
pencil box,Education
geometry box,Education
eraser and sharpener,Education
glue stick,Education
stapler pins,Education
files and folders,Education
newspaper subscription,Bills
magazine purchase,Education
novel or storybook,Education
comic book,Education
kid's coloring book,Education
crayons and paints,Education
school uniform,Education
college bag,Education
shoe lace,Shopping
gym water bottle,Shopping
yoga mat,Health
dumbbells pair,Health
skipping rope,Health
cricket bat,Entertainment
badminton shuttle,Entertainment
football purchase,Entertainment
swimming goggles,Entertainment
bicycle pump,Travel
helmet for bike,Travel
seat cover,Travel
wiper blades,Travel
car perfume,Travel
keychain,Shopping
belt and buckle,Shopping
watch battery,Shopping
spectacle cleaning kit,Health
starbucks latte,Food
subway sandwich,Food
taco bell,Food
lunch at office,Food
dinner at hotel,Food
vada pav,Food
biryani order,Food
sweet shop,Food
haldirams,Food
barbeque nation,Food
maggi noodles,Food
soft drink,Food
juice bar,Food
momo station,Food
pork ribs,Food
steak house,Food
sushi platter,Food
dim sum,Food
pasta carbonara,Food
salad bowl,Food
gym diet meal,Food
fruit basket,Food
cookies and biscuits,Food
chocolates,Food
frozen food,Food
instant noodles,Food
tea bag pack,Food
coffee beans,Food
milk shake,Food
waffle house,Food
pancakes breakfast,Food
brunch buffet,Food
food truck meal,Food
movie popcorn,Food
stadium snacks,Food
airport meal,Food
train food service,Food
office cafeteria,Food
university canteen,Food
street side chaat,Food
panipuri stall,Food
samosa party,Food
birthday cake,Food
pastry shop,Food
ice cream parlor,Food
yogurt cup,Food
energy drink,Food
wine shop,Food
beer bottle,Food
liquor store,Food
whiskey purchase,Food
cocktail bar,Food
pub bill,Food
nightclub drinks,Food
uber credit,Travel
ola money,Travel
rapido bike,Travel
indriver ride,Travel
blusmart cab,Travel
meru cabs,Travel
zoomcar rental,Travel
revv car,Travel
bike rental,Travel
scooter hire,Travel
bicycle sharing,Travel
bus pass monthly,Travel
intercity bus,Travel
volvo bus ticket,Travel
sleeper coach,Travel
railway catering,Travel
tatkal ticket,Travel
platform ticket,Travel
airport shuttle,Travel
parking monthly,Travel
valet parking,Travel
car wash service,Travel
car puncture repair,Travel
engine oil change,Travel
tyre replacement,Travel
car insurance premium,Travel
bike insurance,Travel
roadside assistance,Travel
toll plaza payment,Travel
fastag recharge,Travel
highway toll,Travel
visa fee,Travel
passport application,Travel
travel insurance,Travel
hotel stay,Travel
airbnb booking,Travel
hostel bed,Travel
resort stay,Travel
sightseeing tour,Travel
guide fee,Travel
museum entry ticket,Travel
zoo ticket,Travel
amusement park,Travel
water park entry,Travel
safari booking,Travel
mountain trekking,Travel
tent rental,Travel
nike shoes,Shopping
adidas sneakers,Shopping
puma t-shirt,Shopping
levi jeans,Shopping
denim jacket,Shopping
winter coat,Shopping
raincoat,Shopping
formal suit,Shopping
tie and belt,Shopping
socks pack,Shopping
underwear,Shopping
jewelry purchase,Shopping
gold ring,Shopping
silver chain,Shopping
watch repair,Shopping
smartwatch,Shopping
apple iphone,Shopping
samsung phone,Shopping
laptop charger,Shopping
wireless earbuds,Shopping
bluetooth speaker,Shopping
power bank,Shopping
usb cable,Shopping
keyboard and mouse,Shopping
monitor screen,Shopping
printer ink,Shopping
sofa set,Shopping
dining table,Shopping
curtains,Shopping
bedsheets,Shopping
pillow covers,Shopping
kitchen utensils,Shopping
cookware set,Shopping
mixer grinder,Shopping
microwave oven,Shopping
refrigerator,Shopping
washing machine,Shopping
air conditioner,Shopping
fan repair,Shopping
led bulb,Shopping
home paint,Shopping
hardware tools,Shopping
hammer and nails,Shopping
gardening tools,Shopping
plants and seeds,Shopping
pet food,Shopping
dog leash,Shopping
cat litter,Shopping
aquarium fish,Shopping
toys for kids,Shopping
board games,Shopping
baby diapers,Shopping
baby food,Shopping
school bag,Shopping
stationery set,Shopping
pen and pencil,Shopping
art supplies,Shopping
canvas and paint,Shopping
gift wrapping,Shopping
perfume bottle,Shopping
deodorant,Shopping
shampoo and conditioner,Shopping
skincare cream,Shopping
sunscreen,Shopping
haircut at salon,Shopping
spa massage,Shopping
manicure service,Shopping
beauty parlor,Shopping
blood pressure monitor,Health
thermometer,Health
face masks pack,Health
hand sanitizer,Health
first aid kit,Health
bandages,Health
eye drops,Health
contact lenses,Health
spectacles frame,Health
optical checkup,Health
physiotherapy,Health
chiropractor,Health
acupuncture,Health
mental health app,Health
meditation guide,Health
sleep tracker,Health
weight scale,Health
multivitamins,Health
fish oil capsules,Health
ayurvedic medicine,Health
homeopathy,Health
denture cleaning,Health
braces adjustment,Health
x-ray charges,Health
mri scan,Health
ultrasound,Health
urine test,Health
ecg report,Health
ambulance service,Health
hospital room rent,Health
nursing care,Health
post-op recovery,Health
rehab center,Health
emergency room,Health
surgical masks,Health
gloves box,Health
sanitary pads,Health
shaving kit,Shopping
electric shaver,Shopping
hair dryer,Shopping
straightener,Shopping
